,Name,X,Y,Mentioned_Epoch
1,Anep Sırtı,38.766667,37.633333,Upper Palaeolithic
2,Çekiş Sırtı,38.85,37.666667,Middle Palaeolithic Period
3,Çekiş Sırtı,38.85,37.666667,Lower Paleolithic
4,Göbekli Tepe,38.922471,37.223283,PPNA
5,Göbekli Tepe,38.922471,37.223283,EPPNB
6,Göbekli Tepe,38.922471,37.223283,MPPNB
7,Göbekli Tepe,38.922471,37.223283,PPN
8,Griki Ağni,38.75,37.633333,Late Chalcolithic Age
9,Griki Ağni,38.75,37.633333,Iron Age
10,Griki Ağni,38.75,37.633333,Classical Period 
11,Griki Ağni,38.75,37.633333,post Classical Period
12,Gürcütepe,38.833333,37.133333,Ceramic Neolithic 
13,Gürcütepe,38.833333,37.133333,Aceramic Neolithic 
14,Hacıekber,38.9,36.783333,Chalcolithic Age
15,Hacıekber,38.9,36.783333,Halaf Period 
16,Hacıekber,38.9,36.783333,Iron Age
17,Hacıekber,38.9,36.783333,Early Bronze Age
18,Hamzan Tepe,38.803305,37.084818,PPNA
19,Hamzan Tepe,38.803305,37.084818,Pre-Pottery Neolithic
20,Hassek Höyük,38.916667,37.75,Late Chalcolithic Age
21,Hassek Höyük,38.916667,37.75,
22,Hassek Höyük,38.916667,37.75,
23,Hassek Höyük,38.916667,37.75,Early Bronze Age 1
24,Hassek Höyük,38.916667,37.75,Early Bronze Age 2
25,Hinsor,39.066667,38.616667,Hassuna Period
26,Hinsor,39.066667,38.616667,Halaf Period
27,Hinsor,39.066667,38.616667,Ubaid Period
28,Hinsor,39.066667,38.616667,Chalcolithic Age
29,Hinsor,39.066667,38.616667,
30,Hinsor,39.066667,38.616667,Early Bronze Age 2
31,Hinsor,39.066667,38.616667,Early Bronze Age 3
32,Hirbik Mevkii,38.916667,37.7,Late Chalcolithic Age
33,Hirbik Mevkii,38.916667,37.7,Late Bronze Age
34,Hirbik Mevkii,38.916667,37.7,Post-Classical Period
35,İviktepe,38.95,38.766667,Late Chalcolithic Age
36,İviktepe,38.95,38.766667,Early Bronze Age 1
37,İviktepe,38.95,38.766667,Early Bronze Age 2
38,İviktepe,38.95,38.766667,Early Bronze Age 3
39,İviktepe,38.95,38.766667,Middle Age
40,İviktepe,38.95,38.766667,Late Bronze Age
41,İviktepe,38.95,38.766667,Iron Age
